bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
170318286011,576,462,55.4900016785,44.5099983215
170318286012,732,315,69.9100036621,30.0900001526
170318286013,739,42,94.6200027466,5.38000011444
170318286014,1039,303,77.4199981689,22.5799999237
170318286021,1825,115,94.0699996948,5.92999982834
170318286022,2257,351,86.5400009155,13.4600000381
170318287011,538,338,61.4199981689,38.5800018311
170318287012,465,688,40.3300018311,59.6699981689
170318287013,740,277,72.7600021362,27.2399997711
170318287014,522,442,54.1500015259,45.8499984741
170318287021,668,824,44.7700004578,55.2299995422
170318287022,795,979,44.8100013733,55.1899986267
170318287023,1327,323,80.4199981689,19.5799999237
170318288011,385,521,42.4900016785,57.5099983215
170318288012,269,559,32.4900016785,67.5100021362
170318288013,1250,267,82.4000015259,17.6000003815
170318288014,656,199,76.7300033569,23.2700004578
170318288015,21,865,2.36999988556,97.6299972534
170318288021,1128,31,97.3300018311,2.67000007629
170318288022,452,628,41.8499984741,58.1500015259
170318288023,48,731,6.15999984741,93.8399963379
170318289001,1713,125,93.1999969482,6.80000019073
170318289002,745,34,95.6399993896,4.36000013351
170318289003,896,384,70.0,30.0
170318290001,402,198,67.0,33.0
170318290002,707,24,96.7200012207,3.27999997139
170318291001,1846,388,82.6299972534,17.3700008392
170318291002,653,1231,34.6599998474,65.3399963379
170318292001,322,708,31.2600002289,68.7399978638
170318292002,1239,248,83.3199996948,16.6800003052
170318292003,1835,8,99.5699996948,0.430000007153
170318292004,1469,98,93.75,6.25
170318293011,838,707,54.2400016785,45.7599983215
170318293012,824,1611,33.8400001526,66.1600036621
170318293021,484,455,51.5400009155,48.4599990845
170318293022,1139,393,74.3499984741,25.6499996185
170318293023,1526,19,98.7699966431,1.23000001907
170318294011,568,834,40.5099983215,59.4900016785
170318294021,591,293,66.8600006104,33.1399993896
170318294022,911,11,98.8099975586,1.19000005722
170318294023,1334,177,88.2900009155,11.7100000381
170318295001,2098,365,85.1800003052,14.8199996948
170318295002,340,424,44.5,55.5
170318295003,124,795,13.4899997711,86.5100021362
170318296001,637,698,47.7200012207,52.2799987793
170318296002,39,659,5.59000015259,94.4100036621
170318296003,38,986,3.71000003815,96.2900009155
170318297001,0,932,0.0,100.0
170318297002,745,820,47.5999984741,52.4000015259
170318297003,124,1726,6.69999980927,93.3000030518
170318298001,1564,746,67.7099990845,32.2900009155
170318298002,362,441,45.0800018311,54.9199981689
170318298003,627,139,81.8499984741,18.1499996185
170318298004,729,640,53.25,46.75
170318298005,790,768,50.7099990845,49.2900009155
170318299011,1730,423,80.3499984741,19.6499996185
170318299012,200,630,24.1000003815,75.9000015259
170318299013,980,539,64.5199966431,35.4799995422
170318299014,1061,3196,24.9200000763,75.0800018311
170318299021,149,983,13.1599998474,86.8399963379
170318299022,696,1299,34.8899993896,65.1100006104
170318299023,683,1435,32.25,67.75
170318299024,1109,19,98.3199996948,1.67999994755
170318300011,35,2063,1.66999995708,98.3300018311
170318300031,1700,567,74.9899978638,25.0100002289
170318300032,1373,396,77.6100006104,22.3899993896
170318300033,2565,1407,64.5800018311,35.4199981689
170318300041,646,883,42.25,57.75
170318300042,1145,314,78.4800033569,21.5200004578
170318300043,2247,1968,53.3100013733,46.6899986267
170318300051,1413,645,68.6600036621,31.3400001526
170318300052,852,1059,44.5800018311,55.4199981689
170318300061,1010,518,66.0999984741,33.9000015259
170318300062,899,70,92.7799987793,7.21999979019
170318300071,1196,189,86.3499984741,13.6499996185
170318300072,1478,768,65.8099975586,34.1899986267
170318300073,931,436,68.1100006104,31.8899993896
170318300081,1157,1139,50.3899993896,49.6100006104
170318300082,582,334,63.5400009155,36.4599990845
170318300083,752,615,55.0099983215,44.9900016785
170318301001,2157,74,96.6800003052,3.31999993324
170318301002,1084,36,96.7900009155,3.21000003815
