bgrp,IBuff_Pop,SBuff_Pop,Buff_Pop,Buff_Pct,Lane_PctSB,Lane_PctIB
170310506001,991,12,1003,95.6100006104,21.7399997711,78.2600021362
170310506002,1026,26,1052,100.0,31.7099990845,68.2900009155
170310507001,1280,138,1418,97.5899963379,52.2999992371,47.7000007629
170310508001,955,237,1192,93.0500030518,48.6899986267,51.3100013733
170310509001,1266,9,1275,90.0400009155,9.0,91.0
170310510001,1409,0,1409,90.2600021362,5.11000013351,94.8899993896
170310511001,1268,168,1436,94.0400009155,26.8099994659,73.1900024414
170310512001,574,110,684,97.7099990845,48.0900001526,51.9099998474
170310512002,748,77,825,100.0,14.8900003433,85.1100006104
170310513001,887,265,1152,95.2099990845,32.4799995422,67.5199966431
170310513002,1246,105,1351,93.1699981689,30.9300003052,69.0699996948
170310514001,1070,38,1108,96.9400024414,32.5999984741,67.4000015259
170310514002,936,28,964,96.2099990845,36.2200012207,63.7799987793
170310601001,696,38,734,100.0,19.4899997711,80.5100021362
170310601002,1077,19,1096,100.0,6.55999994278,93.4400024414
170310601003,630,42,672,93.9899978638,44.0600013733,55.9399986267
170310602001,931,57,988,89.4899978638,24.8999996185,75.0999984741
170310602002,873,108,981,91.1699981689,26.1599998474,73.8399963379
170310603001,1390,47,1437,96.0599975586,14.779999733,85.2200012207
170310603002,1338,0,1338,99.8499984741,7.84000015259,92.1600036621
170310604001,1256,22,1278,87.4100036621,9.5,90.5
170310604002,849,89,938,100.0,59.5200004578,40.4799995422
170310604003,876,63,939,89.8600006104,24.1200008392,75.8799972534
170310605001,1266,43,1309,100.0,59.1199989319,40.8800010681
170310608001,1388,0,1388,95.0699996948,11.3199996948,88.6800003052
170310608002,-99999,-99999,-99999,-99999.0,64.25,35.75
170310608003,3164,0,3164,95.3899993896,42.7099990845,57.2900009155
170310609001,1066,68,1134,88.7300033569,7.38000011444,92.6200027466
170310609002,-99999,-99999,-99999,-99999.0,50.3899993896,49.6100006104
170310609003,1120,211,1331,100.0,72.8199996948,27.1800003052
170310609004,3503,0,3503,100.0,14.0500001907,85.9499969482
170310609005,883,0,883,100.0,0.0,0.0
170310610001,1498,0,1498,93.4499969482,7.67000007629,92.3300018311
